player_id,version,name,full_name,description,image,height_cm,weight_kg,dob,positions,overall_rating,potential,value,wage,preferred_foot,weak_foot,skill_moves,international_reputation,body_type,real_face,release_clause,specialities,club_id,club_name,club_league_id,club_league_name,club_logo,club_rating,club_position,club_kit_number,club_joined,club_contract_valid_until,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_vision,mentality_penalties,mentality_composure,defending_defensive_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_gk_diving,goalkeeping_gk_handling,goalkeeping_gk_kicking,goalkeeping_gk_positioning,goalkeeping_gk_reflexes,url,mentality_attack_position
260994,FC 26,O. Mendy,Oucasse Mendy,"Oucasse Mendy (Oucasse N'Dayanthane Mendy, born 1 June 2001) is a French footballer who plays as a striker for Belgian club RAAL La Louvière. In the game FC 26, his overall rating is 63.",https://cdn.sofifa.net/players/260/994/26_360.png,182,67,2001-06-01,"ST, LM, RM, LW",63,69,775000,4000,Left,3,3,1,Normal (170-185),No,1300000,,132231,RAAL La Louvière,4,Pro League,https://cdn.sofifa.net/meta/team/6722/30.png,5,LS,29,"Jul 9, 2025",2028,61,66,58,54,61,68,57,45,47,69,75,74,75,56,68,66,61,59,48,64,63,42,55,58,59,36,37,39,14,7,13,14,14,https://sofifa.com/player/260994/oucasse-mendy/260010/,55
261762,FC 26,I. Hoffmann,Ian Hoffmann,"Ian Hoffmann (Ian Jakob Hoffmann, born 8 September 2001) is an American soccer player who plays as a right back for Norwegian club Kristiansund BK, on loan from Lech Poznań. In the game FC 26, his overall rating is 63.",https://cdn.sofifa.net/players/261/762/26_360.png,175,73,2001-09-08,"RB, LB, RM",63,68,675000,2000,Right,3,3,1,Normal (170-185),No,,,113459,Kristiansund BK,41,Eliteserien,https://cdn.sofifa.net/meta/team/869/30.png,5,RB,22,,"Dec 31, 2025",62,48,46,62,41,66,58,47,61,65,71,70,72,58,73,62,59,67,57,56,63,59,59,45,57,56,58,56,11,8,12,8,10,https://sofifa.com/player/261762/ian-hoffmann/260010/,58
70787,FC 26,J. Thomas,Jordan Thomas,"Jordan Thomas (Jordan Reece Thomas, born 2 May 2001) is a British footballer who plays as a right midfield for British club Cheltenham Town. In the game FC 26, his overall rating is 63.",https://cdn.sofifa.net/players/070/787/26_360.png,182,70,2001-05-02,"RM, RW",63,64,600000,750,Left,3,3,1,Lean (170-185),No,1100000,,1936,Cheltenham Town,61,League Two,https://cdn.sofifa.net/meta/team/351/30.png,5,RW,11,"Feb 1, 2024",2026,55,57,43,56,44,64,56,51,53,62,81,82,77,57,76,63,57,74,53,60,63,32,58,52,59,34,37,28,8,7,7,10,7,https://sofifa.com/player/70787/jordan-thomas/260010/,58
209027,FC 26,A. Al Kassar,Ahmed Al Kassar,"Ahmed Al Kassar (Ahmed Ali Al Kassar, born 8 May 1991) is a Saudi Arabian footballer who plays as a goalkeeper for Saudi Arabian club Al Qadsiah FC. In the game FC 26, his overall rating is 63.",https://cdn.sofifa.net/players/209/027/26_360.png,177,72,1991-05-08,GK,63,63,80000,5000,Right,3,1,1,Normal (170-185),No,136000,,112391,Al Qadsiah FC,350,Pro League,https://cdn.sofifa.net/meta/team/13092/30.png,5,SUB,28,"Jan 30, 2024",2027,15,15,18,23,11,19,17,15,16,17,40,41,36,59,62,41,57,35,56,20,16,20,46,19,48,12,14,17,62,63,55,62,65,https://sofifa.com/player/209027/ahmed-al-kassar/260010/,18
228739,FC 26,J. Peñarrieta,José Peñarrieta,"José Peñarrieta (José Feliciano Peñarrieta Flores, born 18 November 1988) is a Bolivian footballer who plays as a goalkeeper for Bolivian club San Antonio Bulo Bulo. In the game FC 26, his overall rating is 63.",https://cdn.sofifa.net/players/228/739/26_360.png,185,80,1988-11-18,GK,63,63,50000,2000,Right,2,1,1,Normal (185+),No,108000,,131795,San Antonio Bulo Bulo,2017,División de Fútbol Profesional,https://cdn.sofifa.net/meta/team/259042/30.png,5,SUB,31,"Jan 1, 2025",2025,20,19,22,25,14,17,29,18,35,23,50,46,34,60,56,47,65,40,61,12,22,20,33,29,29,14,17,15,62,60,62,62,64,https://sofifa.com/player/228739/jose-penarrieta/260010/,12
275076,FC 26,Kang Joon Hyuck,Joon Hyuck Kang,"Kang Joon Hyuck (Joon-hyuck Kang, born 20 October 1999) is a Korean footballer who plays as a right back for Korean club Gangwon FC. In the game FC 26, his overall rating is 63.",https://cdn.sofifa.net/players/275/076/26_360.png,177,70,1999-10-20,"RB, LB",63,66,575000,2000,Right,3,2,1,Normal (170-185),No,762000,,112115,Gangwon FC,83,K League 1,https://cdn.sofifa.net/meta/team/7273/30.png,5,SUB,99,"Jan 6, 2025",2030,56,33,48,46,41,58,36,49,38,60,79,78,70,66,63,30,65,72,60,29,54,58,52,34,52,57,58,59,9,7,11,14,13,https://sofifa.com/player/275076/joon-hyuck-kang/260010/,58
266373,FC 26,B. Bender,Ben Bender,"Ben Bender (Benjamin Bender, born 7 March 2001) is an American soccer player who plays as a central attacking midfielder for American club Philadelphia Union. In the game FC 26, his overall rating is 63.",https://cdn.sofifa.net/players/266/373/26_360.png,183,75,2001-03-07,"CAM, LM, CM",63,70,975000,2000,Left,3,3,1,Lean (170-185),No,1700000,,112134,Philadelphia Union,39,Major League Soccer,https://cdn.sofifa.net/meta/team/275/30.png,5,SUB,16,"May 9, 2025",2025,59,59,42,65,52,62,65,41,58,65,65,64,62,57,61,66,52,65,59,57,55,60,66,52,53,29,36,58,5,10,8,11,8,https://sofifa.com/player/266373/ben-bender/260010/,61
259973,FC 26,P. Boer,Pietro Boer,"Pietro Boer (born 12 May 2002) is an Italian footballer who plays as a goalkeeper for Italian club SS Juve Stabia. In the game FC 26, his overall rating is 63.",https://cdn.sofifa.net/players/259/973/26_360.png,193,80,2002-05-12,GK,63,73,925000,500,Right,2,1,1,Normal (185+),No,1600000,,112124,SS Juve Stabia,32,Serie B,https://cdn.sofifa.net/meta/team/6947/30.png,5,SUB,23,"Aug 1, 2025",2027,12,6,13,19,5,5,10,12,24,17,33,24,22,51,27,46,57,24,63,7,19,14,30,12,28,7,11,11,64,64,61,60,68,https://sofifa.com/player/259973/pietro-boer/260010/,4
268678,FC 26,T. Taşçı,Tunahan Taşçı,"Tunahan Taşçı (Muhammet Tunahan Taşçı, born 29 April 2002) is a Turkish footballer who plays as a right midfield for Turkish club Konyaspor. In the game FC 26, his overall rating is 63.",https://cdn.sofifa.net/players/268/678/26_360.png,172,70,2002-04-29,"RM, RW, LM",63,72,1100000,4000,Left,3,4,1,Normal (170-185),No,2400000,,101033,Konyaspor,68,Süper Lig,https://cdn.sofifa.net/meta/team/2632/30.png,5,SUB,7,"Jul 9, 2024",2027,56,51,48,60,43,69,54,49,52,72,75,77,67,55,76,62,54,65,47,43,31,23,51,59,57,28,29,32,6,12,9,8,10,https://sofifa.com/player/268678/tunahan-tasci/260010/,54
276358,FC 26,G. Ranos,Grant-Leon Ranos,"Grant-Leon Ranos (born 20 July 2003) is an Armenian footballer who plays as a striker for German club Borussia Mönchengladbach. In the game FC 26, his overall rating is 63.",https://cdn.sofifa.net/players/276/358/26_360.png,180,73,2003-07-20,ST,63,74,1100000,5000,Right,3,3,1,Lean (170-185),No,2100000,,23,Borussia Mönchengladbach,19,Bundesliga,https://cdn.sofifa.net/meta/team/683/30.png,5,SUB,28,"Jul 1, 2023",2027,49,67,55,57,61,65,70,52,44,65,65,60,71,57,66,64,65,54,64,66,30,22,53,60,53,25,25,25,12,6,14,15,7,https://sofifa.com/player/276358/grant-leon-ranos/260010/,64
238726,FC 26,G. Marcussen,Gustav Marcussen,"Gustav Marcussen (Gustav Ølsted Marcussen, born 12 June 1998) is a Danish footballer who plays as a left midfield for Danish club Fredericia. In the game FC 26, his overall rating is 63.",https://cdn.sofifa.net/players/238/726/26_360.png,179,70,1998-06-12,"LM, ST, LW",63,63,500000,3000,Right,2,3,1,Lean (170-185),No,625000,,15006,Fredericia,1,Superliga,https://cdn.sofifa.net/meta/team/2933/30.png,5,LM,7,"Jul 4, 2023",2026,60,59,46,61,49,61,55,39,57,62,75,76,71,60,71,57,60,63,56,51,51,39,59,49,46,34,43,42,6,14,6,13,12,https://sofifa.com/player/238726/gustav-marcussen/260010/,60
266375,FC 26,O. Bouda,Ousseni Bouda,"Ousseni Bouda (born 28 April 2000) is a Burkinabé footballer who plays as a left midfield for American club San Jose Earthquakes. In the game FC 26, his overall rating is 63.",https://cdn.sofifa.net/players/266/375/26_360.png,180,79,2000-04-28,"LM, RM, LW",63,66,625000,2000,Right,3,3,1,Lean (170-185),No,953000,,111928,San Jose Earthquakes,39,Major League Soccer,https://cdn.sofifa.net/meta/team/287/30.png,5,SUB,11,"Jan 11, 2022",2027,62,53,36,54,49,75,42,52,51,70,74,72,71,46,71,51,59,54,69,44,26,17,55,33,52,18,20,19,5,9,14,8,6,https://sofifa.com/player/266375/ousseni-bouda/260010/,60
71815,FC 26,D. Herrera,Daniel Herrera,"Daniel Herrera (Daniel Ezequiel Herrera, born 6 February 2004) is an Argentine footballer who plays as a center back for Argentine club San Lorenzo de Almagro. In the game FC 26, his overall rating is 63.",https://cdn.sofifa.net/players/071/815/26_360.png,181,74,2004-02-06,"CB, RB, CDM",63,75,1100000,3000,Right,3,2,1,Lean (170-185),No,1900000,,1013,San Lorenzo de Almagro,353,Liga Profesional de Fútbol,https://cdn.sofifa.net/meta/team/520/30.png,5,SUB,36,"Jan 1, 2024",2026,31,25,61,57,20,40,25,30,50,58,57,65,51,62,44,55,66,58,66,28,62,63,39,36,45,62,64,62,8,10,9,7,11,https://sofifa.com/player/71815/daniel-herrera/260010/,33
78215,FC 26,T. Siwe,Telli Siwe,"Telli Siwe (born 14 December 2004) is a French footballer who plays as a center back for French club AJ Auxerre. In the game FC 26, his overall rating is 63.",https://cdn.sofifa.net/players/078/215/26_360.png,180,70,2004-12-14,CB,63,78,1100000,4000,Right,2,2,1,Normal (170-185),No,2900000,,57,AJ Auxerre,16,Ligue 1,https://cdn.sofifa.net/meta/team/3682/30.png,5,RES,13,"Apr 20, 2025",2027,37,18,63,55,23,41,38,26,37,49,63,58,53,55,58,37,72,54,72,21,59,56,37,32,55,62,69,64,9,6,7,6,9,https://sofifa.com/player/78215/telli-siwe/260010/,25
231303,FC 26,L. Grace,Lee Grace,"Lee Grace (born 1 December 1992) is an Irish footballer who plays as a center back for Irish club Shamrock Rovers. In the game FC 26, his overall rating is 63.",https://cdn.sofifa.net/players/231/303/26_360.png,186,83,1992-12-01,CB,63,63,300000,750,Right,3,2,1,Normal (185+),No,465000,,306,Shamrock Rovers,65,Premier Division,https://cdn.sofifa.net/meta/team/207/30.png,5,LCB,5,"Jul 31, 2017",2025,26,27,66,62,20,50,29,25,52,54,40,38,39,60,33,36,66,45,74,30,68,62,33,31,64,64,63,60,13,14,6,7,6,https://sofifa.com/player/231303/lee-grace/260010/,21
262792,FC 26,F. Strauss,Felix Strauss,"Felix Strauss (born 26 March 2001) is an Austrian footballer who plays as a center back for German club SSV Jahn Regensburg. In the game FC 26, his overall rating is 63.",https://cdn.sofifa.net/players/262/792/26_360.png,186,80,2001-03-26,"CB, RB",63,69,700000,700,Right,4,2,1,Normal (185+),No,1200000,,543,SSV Jahn Regensburg,2076,3. Liga,https://cdn.sofifa.net/meta/team/3463/30.png,5,CB,4,"Jul 2, 2025",2027,45,33,57,60,29,57,44,37,50,61,70,70,65,64,48,62,74,76,76,38,74,61,49,38,59,60,62,56,7,8,14,10,11,https://sofifa.com/player/262792/felix-strauss/260010/,35
269704,FC 26,S. Laquidain,Santiago Laquidain,"Santiago Laquidain (Santiago Laquidaín, born 28 July 2001) is an Argentine footballer who plays as a center back for Argentine club CA Aldosivi. In the game FC 26, his overall rating is 63.",https://cdn.sofifa.net/players/269/704/26_360.png,184,75,2001-07-28,"CB, LB, LM",63,69,700000,3000,Left,2,2,1,Lean (170-185),No,1200000,,111707,CA Aldosivi,353,Liga Profesional de Fútbol,https://cdn.sofifa.net/meta/team/9874/30.png,5,RES,15,"Jul 1, 2020",2025,54,20,65,43,27,41,42,28,43,47,70,66,48,54,61,43,75,74,72,22,56,59,33,32,47,64,67,66,9,14,8,13,11,https://sofifa.com/player/269704/santiago-laquidain/260010/,42
272776,FC 26,L. Kuavita,Léandre Kuavita,"Léandre Kuavita (Léandre Filipe Kuavita, born 31 May 2004) is a Belgian footballer who plays as a center midfield for Belgian club Standard de Liège. In the game FC 26, his overall rating is 63.",https://cdn.sofifa.net/players/272/776/26_360.png,180,67,2004-05-31,"CM, CAM",63,74,1100000,3000,Left,3,2,1,Lean (170-185),No,1900000,,232,Standard de Liège,4,Pro League,https://cdn.sofifa.net/meta/team/700/30.png,5,SUB,14,"Jul 1, 2023",2026,54,59,64,64,51,64,58,51,63,65,66,63,69,65,71,63,74,78,73,53,68,58,60,48,64,59,60,54,8,13,9,11,6,https://sofifa.com/player/272776/leandre-kuavita/260010/,65
80521,FC 26,K. Prieto,Kevin Prieto,"Kevin Prieto (Kevin Estiven Prieto Machado, born 27 June 2003) is a Uruguayan footballer who plays as a right midfield for Portuguese club Casa Pia. In the game FC 26, his overall rating is 63.",https://cdn.sofifa.net/players/080/521/26_360.png,184,80,2003-06-27,"RM, RB, RW",63,74,1100000,2000,Right,3,3,1,Normal (170-185),No,2500000,,114510,Casa Pia,308,Primeira Liga,https://cdn.sofifa.net/meta/team/11741/30.png,5,SUB,19,"Aug 8, 2025",2029,62,52,55,63,46,64,55,45,56,67,72,70,50,63,56,72,69,66,63,44,56,59,52,53,52,54,48,42,5,14,9,11,10,https://sofifa.com/player/80521/kevin-prieto/260010/,56
70026,FC 26,C. Ashford,Cian Ashford,"Cian Ashford (Cian Ty Ashford, born 24 September 2004) is a Welsh footballer who plays as a right midfield for Welsh club Cardiff City. In the game FC 26, his overall rating is 63.",https://cdn.sofifa.net/players/070/026/26_360.png,179,72,2004-09-24,"RM, LM, ST, RW",63,75,1200000,950,Right,3,3,1,Normal (170-185),No,2300000,,1961,Cardiff City,60,League One,https://cdn.sofifa.net/meta/team/69/30.png,5,RM,45,"Jun 16, 2023",2027,57,62,56,59,61,64,51,52,42,63,77,76,73,63,75,61,68,61,57,61,54,20,51,57,61,23,25,19,10,8,13,7,10,https://sofifa.com/player/70026/cian-ashford/260010/,62
73098,FC 26,D. Leonard,Dylan Leonard,"Dylan Leonard (born 30 August 2007) is an Australian soccer player who plays as a center back for German club FC Schalke 04. In the game FC 26, his overall rating is 63.",https://cdn.sofifa.net/players/073/098/26_360.png,187,70,2007-08-30,CB,63,83,1200000,1000,Right,4,2,1,Normal (185+),No,3100000,,34,FC Schalke 04,20,2. Bundesliga,https://cdn.sofifa.net/meta/team/67/30.png,5,RES,3,"Sep 15, 2025",2030,32,30,55,58,28,48,33,29,53,52,61,62,60,63,71,46,63,77,61,30,65,65,42,37,60,67,65,63,9,10,5,10,13,https://sofifa.com/player/73098/dylan-leonard/260010/,34
73610,FC 26,E. Agyemang,Emmanuel Agyemang,"Emmanuel Agyemang (Emmanuel Ofori Agyemang, born 3 January 2004) is a Ghanaian footballer who plays as a central attacking midfielder for Austrian club Wolfsberger AC. In the game FC 26, his overall rating is 63.",https://cdn.sofifa.net/players/073/610/26_360.png,180,75,2004-01-03,"CAM, CM",63,75,1200000,3000,Right,3,3,1,Lean (170-185),No,2000000,,111822,Wolfsberger AC,80,Bundesliga,https://cdn.sofifa.net/meta/team/3787/30.png,5,SUB,34,"Jul 1, 2024",2028,50,58,36,65,39,65,50,40,62,68,65,64,58,58,65,57,52,49,61,54,44,25,65,53,57,33,30,42,9,6,5,15,11,https://sofifa.com/player/73610/emmanuel-agyemang/260010/,61
242826,FC 26,Lee Jae Ik,Jae Ik Lee,"Lee Jae Ik (Jae-ik Lee, born 21 May 1999) is a Korean footballer who plays as a center back for Korean club Ulsan HD FC. In the game FC 26, his overall rating is 63.",https://cdn.sofifa.net/players/242/826/26_360.png,185,76,1999-05-21,"CB, LB, CDM",63,66,550000,2000,Left,3,2,1,Normal (185+),No,756000,,1473,Ulsan HD FC,83,K League 1,https://cdn.sofifa.net/meta/team/5839/30.png,5,RES,28,"Jan 20, 2025",2028,32,21,65,60,26,27,20,24,63,59,68,60,66,57,56,39,80,68,82,39,61,59,57,32,55,60,61,61,11,13,9,9,7,https://sofifa.com/player/242826/jae-ik-lee/260010/,36
263307,FC 26,N. Piwernetz,Nils Piwernetz,"Nils Piwernetz (Nils Benedikt Piwernetz, born 3 April 2000) is a German footballer who plays as a left back for German club 1. FC Schweinfurt 05. In the game FC 26, his overall rating is 63.",https://cdn.sofifa.net/players/263/307/26_360.png,176,72,2000-04-03,LB,63,66,575000,500,Left,2,2,1,Lean (170-185),No,877000,,583,1. FC Schweinfurt 05,2076,3. Liga,https://cdn.sofifa.net/meta/team/3632/30.png,5,SUB,19,"Jul 1, 2023",2027,54,27,58,58,20,55,29,28,35,57,74,69,80,55,77,38,69,63,60,33,65,61,39,30,48,61,63,62,13,14,11,10,12,https://sofifa.com/player/263307/nils-piwernetz/260010/,42
270475,FC 26,P. Brouwer,Patrick Brouwer,"Patrick Brouwer (born 19 March 2001) is a Dutch footballer who plays as a central attacking midfielder for Dutch club Telstar. In the game FC 26, his overall rating is 63.",https://cdn.sofifa.net/players/270/475/26_360.png,176,70,2001-03-19,"CAM, LM, CM",63,67,700000,2000,Right,3,3,1,Normal (170-185),No,1100000,,100638,Telstar,10,Eredivisie,https://cdn.sofifa.net/meta/team/1550/30.png,5,LAM,27,"Jul 1, 2025",2028,54,61,54,64,43,64,48,56,61,65,74,71,62,57,74,64,58,67,49,65,58,40,61,59,52,47,51,53,11,11,15,13,14,https://sofifa.com/player/270475/patrick-brouwer/260010/,60
79499,FC 26,A. Hbouch,Abdel Hbouch,"Abdel Hbouch (born 25 January 1999) is a French footballer who plays as a left winger for French club FC Annecy. In the game FC 26, his overall rating is 63.",https://cdn.sofifa.net/players/079/499/26_360.png,176,65,1999-01-25,"LW, ST, CM, LM",63,64,575000,2000,Right,4,3,1,Lean (170-185),No,1000000,,115494,FC Annecy,17,Ligue 2,https://cdn.sofifa.net/meta/team/1447/30.png,5,LW,8,"Jun 26, 2025",2027,60,55,49,71,43,67,52,52,68,69,65,66,66,55,62,60,50,60,48,47,57,46,66,54,65,47,49,46,15,7,8,7,6,https://sofifa.com/player/79499/abdel-hbouch/260010/,56
